tokenized_sents,duplicate
There he would meditate upon the visions that filled his mind and there devise the forms of beauty which later became immortal in breathing marble,There he would meditate upon the visions that filled his mind and there devise the forms of beauty which later became immortal in breathing marble
I have said that I awaked suddenly and in alarm,I have said that I awaked suddenly and in alarm
But when the moon went over to the west and the still tide ebbed from the sullen shore I saw in that light old spires that the waves almost uncovered and white columns gay with festoons of green seaweed,But when the moon went over to the west and the still tide ebbed from the sullen shore I saw in that light old spires that the waves almost uncovered and white columns gay with festoons of green seaweed
The place was far from any road and in sight of no other house yet precautions were none the less necessary since rumours of strange lights started by chance nocturnal roamers would soon bring disaster on our enterprise,The place was far from any road and in sight of no other house yet precautions were none the less necessary since rumours of strange lights started by chance nocturnal roamers would soon bring disaster on our enterprise
There was nothing like a ladder in the tomb and the coffin niches on the sides and rear which Birch seldom took the trouble to use afforded no ascent to the space above the door,There was nothing like a ladder in the tomb and the coffin niches on the sides and rear which Birch seldom took the trouble to use afforded no ascent to the space above the door
Later he insulted Mr Burke in so intolerable a Manner that we all took Pains to shew our Disapproval after which Incident he came no more to our Meetings,Later he insulted Mr Burke in so intolerable a Manner that we all took Pains to shew our Disapproval after which Incident he came no more to our Meetings
Then suddenly Old Bugs ceased to wield his javelin and stopped still drawing himself up more erectly than any denizen of the place had ever seen him before,Then suddenly Old Bugs ceased to wield his javelin and stopped still drawing himself up more erectly than any denizen of the place had ever seen him before
The boxes were fairly even and could be piled up like blocks so he began to compute how he might most stably use the eight to rear a scalable platform four deep,The boxes were fairly even and could be piled up like blocks so he began to compute how he might most stably use the eight to rear a scalable platform four deep
that face with the red eyes an crinkly albino hair an no chin like the Whateleys   ,that face with the red eyes an crinkly albino hair an no chin like the Whateleys   
What I did succeed in doing was to overhear the nocturnal playing of the dumb old man,What I did succeed in doing was to overhear the nocturnal playing of the dumb old man
About  when Wilbur was a boy of ten whose mind voice stature and bearded face gave all the impressions of maturity a second great siege of carpentry went on at the old house,About  when Wilbur was a boy of ten whose mind voice stature and bearded face gave all the impressions of maturity a second great siege of carpentry went on at the old house
The reception of his request seems to have been varied but he must at the very least have received more responses than any ordinary man could have handled without a secretary,The reception of his request seems to have been varied but he must at the very least have received more responses than any ordinary man could have handled without a secretary
It had been an eldritch thing no wonder sensitive students shudder at the Puritan age in Massachusetts,It had been an eldritch thing no wonder sensitive students shudder at the Puritan age in Massachusetts
He would have descended and asked the way to Ooth Nargai had not a fearsome aurora sputtered up from some remote place beyond the horizon shewing the ruin and antiquity of the city and the stagnation of the reedy river and the death lying upon that land as it had lain since King Kynaratholis came home from his conquests to find the vengeance of the gods,He would have descended and asked the way to Ooth Nargai had not a fearsome aurora sputtered up from some remote place beyond the horizon shewing the ruin and antiquity of the city and the stagnation of the reedy river and the death lying upon that land as it had lain since King Kynaratholis came home from his conquests to find the vengeance of the gods
The press cuttings as I have intimated touched on cases of panic mania and eccentricity during the given period,The press cuttings as I have intimated touched on cases of panic mania and eccentricity during the given period
They glistened bloated and green in the moonbeams and seemed to gaze up at the fount of light,They glistened bloated and green in the moonbeams and seemed to gaze up at the fount of light
My immediate actions were peculiar for such a situation but it is only in tales that a man does the dramatic and foreseen thing,My immediate actions were peculiar for such a situation but it is only in tales that a man does the dramatic and foreseen thing
Here the dense growth of weeds and briers hindered me and cruelly tore my clothes but I was none the less glad that they were there to give me concealment in case of peril,Here the dense growth of weeds and briers hindered me and cruelly tore my clothes but I was none the less glad that they were there to give me concealment in case of peril
There was talk of a complaint to the Society for the Prevention of Cruelty to Animals but nothing ever came of it since Dunwich folk are never anxious to call the outside worlds attention to themselves,There was talk of a complaint to the Society for the Prevention of Cruelty to Animals but nothing ever came of it since Dunwich folk are never anxious to call the outside worlds attention to themselves
We chose our house with the greatest care seizing at last on a rather run down cottage near the end of Pond Street five numbers from the closest neighbour and separated from the local potters field by only a stretch of meadow land bisected by a narrow neck of the rather dense forest which lies to the north,We chose our house with the greatest care seizing at last on a rather run down cottage near the end of Pond Street five numbers from the closest neighbour and separated from the local potters field by only a stretch of meadow land bisected by a narrow neck of the rather dense forest which lies to the north
I now visited the accursed place with increased frequency studying the unwholesome vegetation of the garden examining all the walls of the building and poring over every inch of the earthen cellar floor,I now visited the accursed place with increased frequency studying the unwholesome vegetation of the garden examining all the walls of the building and poring over every inch of the earthen cellar floor
Though the northward pull had not diminished he resisted it as he had resisted the other pull and finally found that he could almost balance the one against the other,Though the northward pull had not diminished he resisted it as he had resisted the other pull and finally found that he could almost balance the one against the other
Yet could no act be performed to check the impending cataclysm for the swart sinister men were old in cunning,Yet could no act be performed to check the impending cataclysm for the swart sinister men were old in cunning
Surely I had little enough chance of rescue,Surely I had little enough chance of rescue
Calm lasting beauty comes only in dream and this solace the world had thrown away when in its worship of the real it threw away the secrets of childhood and innocence,Calm lasting beauty comes only in dream and this solace the world had thrown away when in its worship of the real it threw away the secrets of childhood and innocence
The next day all the countryside was in a panic and cowed uncommunicative groups came and went where the fiendish thing had occurred,The next day all the countryside was in a panic and cowed uncommunicative groups came and went where the fiendish thing had occurred
Jermyn could form no conjecture but by close questioning obtained a very picturesque legend of the stuffed goddess,Jermyn could form no conjecture but by close questioning obtained a very picturesque legend of the stuffed goddess
I had drilled myself in preparation for the crucial moment and blind training saved me,I had drilled myself in preparation for the crucial moment and blind training saved me
This he said was to neutralise the compound and release the system to a normal relaxation so that the reanimating solution might freely work when injected,This he said was to neutralise the compound and release the system to a normal relaxation so that the reanimating solution might freely work when injected
He had protested then when they had found him waked him and carried him home for just as he was aroused he had been about to sail in a golden galley for those alluring regions where the sea meets the sky,He had protested then when they had found him waked him and carried him home for just as he was aroused he had been about to sail in a golden galley for those alluring regions where the sea meets the sky
I believe I did ridiculous things such as offering prayers to Artemis Latona Demeter Persephone and Plouton,I believe I did ridiculous things such as offering prayers to Artemis Latona Demeter Persephone and Plouton
They insisted that this was Kingsport and I could not deny it,They insisted that this was Kingsport and I could not deny it
The newcomer was a thin dark man of medium height attired in the clerical garb of the Anglican church,The newcomer was a thin dark man of medium height attired in the clerical garb of the Anglican church
The smell of the sea took on ominous implications and the silent drivers bent rigid back and narrow head became more and more hateful,The smell of the sea took on ominous implications and the silent drivers bent rigid back and narrow head became more and more hateful
Fool that I was to plunge with such unsanctioned phrensy into mysteries no man was meant to penetrate fool or god that he was my only friend who led me and went before me and who in the end passed into terrors which may yet be mine,Fool that I was to plunge with such unsanctioned phrensy into mysteries no man was meant to penetrate fool or god that he was my only friend who led me and went before me and who in the end passed into terrors which may yet be mine
Young Wilcoxs rejoinder which impressed my uncle enough to make him recall and record it verbatim was of a fantastically poetic cast which must have typified his whole conversation and which I have since found highly characteristic of him,Young Wilcoxs rejoinder which impressed my uncle enough to make him recall and record it verbatim was of a fantastically poetic cast which must have typified his whole conversation and which I have since found highly characteristic of him
As my grand uncles heir and executor for he died a childless widower I was expected to go over his papers with some thoroughness and for that purpose moved his entire set of files and boxes to my quarters in Boston,As my grand uncles heir and executor for he died a childless widower I was expected to go over his papers with some thoroughness and for that purpose moved his entire set of files and boxes to my quarters in Boston
Then came the shift as vast converging planes of a slippery looking substance loomed above and below him a shift which ended in a flash of delirium and a blaze of unknown alien light in which yellow carmine and indigo were madly and inextricably blended,Then came the shift as vast converging planes of a slippery looking substance loomed above and below him a shift which ended in a flash of delirium and a blaze of unknown alien light in which yellow carmine and indigo were madly and inextricably blended
Sewers came but they passed by it,Sewers came but they passed by it
Something very like fright had come over all the explorers before anything more definite than rock and ooze and weed was seen,Something very like fright had come over all the explorers before anything more definite than rock and ooze and weed was seen
A cry rose from the crowd and Dr Armitage shouted to the men outside that no one must be admitted till the police or medical examiner came,A cry rose from the crowd and Dr Armitage shouted to the men outside that no one must be admitted till the police or medical examiner came
And as I watched the ripples that told of the writhing of worms beneath I felt a new chill from afar out whither the condor had flown as if my flesh had caught a horror before my eyes had seen it,And as I watched the ripples that told of the writhing of worms beneath I felt a new chill from afar out whither the condor had flown as if my flesh had caught a horror before my eyes had seen it
As he walked toward the bus I observed his peculiarly shambling gait and saw that his feet were inordinately immense,As he walked toward the bus I observed his peculiarly shambling gait and saw that his feet were inordinately immense
William Harris at last thoroughly convinced of the radically unhealthful nature of his abode now took steps toward quitting it and closing it forever,William Harris at last thoroughly convinced of the radically unhealthful nature of his abode now took steps toward quitting it and closing it forever
It wearied Carter to see how solemnly people tried to make earthly reality out of old myths which every step of their boasted science confuted and this misplaced seriousness killed the attachment he might have kept for the ancient creeds had they been content to offer the sonorous rites and emotional outlets in their true guise of ethereal fantasy,It wearied Carter to see how solemnly people tried to make earthly reality out of old myths which every step of their boasted science confuted and this misplaced seriousness killed the attachment he might have kept for the ancient creeds had they been content to offer the sonorous rites and emotional outlets in their true guise of ethereal fantasy
I cannot express the wild breathless suspense with which we waited for results on this first really fresh specimen the first we could reasonably expect to open its lips in rational speech perhaps to tell of what it had seen beyond the unfathomable abyss,I cannot express the wild breathless suspense with which we waited for results on this first really fresh specimen the first we could reasonably expect to open its lips in rational speech perhaps to tell of what it had seen beyond the unfathomable abyss
He sometimes dreamed better when awake and he wanted to use that key,He sometimes dreamed better when awake and he wanted to use that key
It was in fact nothing more or less than an abundant supply of freshly killed men in every stage of dismemberment,It was in fact nothing more or less than an abundant supply of freshly killed men in every stage of dismemberment
Toward morning I must have dropped asleep with the lights on for I awoke in darkness yesterday afternoon to find the batteries dead,Toward morning I must have dropped asleep with the lights on for I awoke in darkness yesterday afternoon to find the batteries dead
But though men talked of great changes The Street felt them not for its folk were still the same speaking of the old familiar things in the old familiar accents,But though men talked of great changes The Street felt them not for its folk were still the same speaking of the old familiar things in the old familiar accents
For out of an opened door in the Gilman House a large crowd of doubtful shapes was pouring lanterns bobbing in the darkness and horrible croaking voices exchanging low cries in what was certainly not English,For out of an opened door in the Gilman House a large crowd of doubtful shapes was pouring lanterns bobbing in the darkness and horrible croaking voices exchanging low cries in what was certainly not English
On the green and flowery mountains of Cathuria stand temples of pink marble rich with carven and painted glories and having in their courtyards cool fountains of silver where purl with ravishing music the scented waters that come from the grotto born river Narg,On the green and flowery mountains of Cathuria stand temples of pink marble rich with carven and painted glories and having in their courtyards cool fountains of silver where purl with ravishing music the scented waters that come from the grotto born river Narg
I had I felt been halted by a barrier which my friend and leader had successfully passed,I had I felt been halted by a barrier which my friend and leader had successfully passed
After the beams came clouds and then I slept,After the beams came clouds and then I slept
The villagers of Hatheg say it is ill to climb Hatheg Kla at any time and deadly to climb it by night when pale vapours hide the summit and the moon but Barzai heeded them not when he came from neighbouring Ulthar with the young priest Atal who was his disciple,The villagers of Hatheg say it is ill to climb Hatheg Kla at any time and deadly to climb it by night when pale vapours hide the summit and the moon but Barzai heeded them not when he came from neighbouring Ulthar with the young priest Atal who was his disciple
Apparently the horror had descended by a route much the same as that of its ascent,Apparently the horror had descended by a route much the same as that of its ascent
Relieved of my seizure in a marvellously short while I left the shivery place a disciple and devotee of the gifted recluse,Relieved of my seizure in a marvellously short while I left the shivery place a disciple and devotee of the gifted recluse
Only an effort halted him at a cafeteria in Church Street and after the meal he felt the unknown pull still more strongly,Only an effort halted him at a cafeteria in Church Street and after the meal he felt the unknown pull still more strongly
For some unknown reason I dreaded the thought of disturbing the ancient bog and its sunless secrets and pictured terrible sights lying black under the unmeasured depth of age old peat,For some unknown reason I dreaded the thought of disturbing the ancient bog and its sunless secrets and pictured terrible sights lying black under the unmeasured depth of age old peat
On account of the general alarm and precautions there were only two more victims and the capture was effected without major casualties,On account of the general alarm and precautions there were only two more victims and the capture was effected without major casualties
It was in the dark of September th that the horror broke loose,It was in the dark of September th that the horror broke loose
There were vague statements about disease and concentration camps and later about dispersal in various naval and military prisons but nothing positive ever developed,There were vague statements about disease and concentration camps and later about dispersal in various naval and military prisons but nothing positive ever developed
On reflection he was glad he had not consulted the still more inquisitive college doctor,On reflection he was glad he had not consulted the still more inquisitive college doctor
Barzai knew so much of the gods that he could tell of their comings and goings and guessed so many of their secrets that he was deemed half a god himself,Barzai knew so much of the gods that he could tell of their comings and goings and guessed so many of their secrets that he was deemed half a god himself
othersll worship with us at meetin time an sarten haouses hez got to entertain guests   ,othersll worship with us at meetin time an sarten haouses hez got to entertain guests   
We did not descend far and when after several hours the sea was calmer we decided to return to the surface,We did not descend far and when after several hours the sea was calmer we decided to return to the surface
He had thought he heard rats in the partitions all the evening but paid little attention to them,He had thought he heard rats in the partitions all the evening but paid little attention to them
It appeared that I was a provincial quAstor named L CAlius Rufus and that I had been summoned by the proconsul P Scribonius Libo who had come from Tarraco some days before,It appeared that I was a provincial quAstor named L CAlius Rufus and that I had been summoned by the proconsul P Scribonius Libo who had come from Tarraco some days before
I admired his clearness and persistence and added some further revelations I had collected among the old people,I admired his clearness and persistence and added some further revelations I had collected among the old people
Let me see Trever continued the defaulter did not Schultz say your mother is a literary person too Yes damn it replied Trever but nothing like the old Teian She is one of those dull eternal moralisers that try to take all the joy out of life,Let me see Trever continued the defaulter did not Schultz say your mother is a literary person too Yes damn it replied Trever but nothing like the old Teian She is one of those dull eternal moralisers that try to take all the joy out of life
The terror which brought me to the scene was a sudden and portentous confirmation of the mountaineers wildest legends,The terror which brought me to the scene was a sudden and portentous confirmation of the mountaineers wildest legends
On the third day Slater was found unconscious in the hollow of a tree and taken to the nearest gaol where alienists from Albany examined him as soon as his senses returned,On the third day Slater was found unconscious in the hollow of a tree and taken to the nearest gaol where alienists from Albany examined him as soon as his senses returned
Somewhere to what remote and fearsome region I know not Denys Barry has gone,Somewhere to what remote and fearsome region I know not Denys Barry has gone
My mind as alert as my senses recognised the gravely unusual and almost automatically I leaped up and turned about to grasp the destructive instruments which we had left trained on the mouldy spot before the fireplace,My mind as alert as my senses recognised the gravely unusual and almost automatically I leaped up and turned about to grasp the destructive instruments which we had left trained on the mouldy spot before the fireplace
That the influence of the old house was unwholesome he could not deny but traces of his early morbid interest still held him there,That the influence of the old house was unwholesome he could not deny but traces of his early morbid interest still held him there
They say there is no land of Lomar save in my nocturnal imaginings that in those realms where the Pole Star shines high and red Aldebaran crawls low around the horizon there has been naught save ice and snow for thousands of years and never a man save squat yellow creatures blighted by the cold whom they call Esquimaux,They say there is no land of Lomar save in my nocturnal imaginings that in those realms where the Pole Star shines high and red Aldebaran crawls low around the horizon there has been naught save ice and snow for thousands of years and never a man save squat yellow creatures blighted by the cold whom they call Esquimaux
Degraded and ignorant as they were the creatures held with surprising consistency to the central idea of their loathsome faith,Degraded and ignorant as they were the creatures held with surprising consistency to the central idea of their loathsome faith
Of the name and abode of this man but little is written for they were of the waking world only yet it is said that both were obscure,Of the name and abode of this man but little is written for they were of the waking world only yet it is said that both were obscure
Some said the thunder called the lurking fear out of its habitation while others said the thunder was its voice,Some said the thunder called the lurking fear out of its habitation while others said the thunder was its voice
I hear a noise at the door as of some immense slippery body lumbering against it,I hear a noise at the door as of some immense slippery body lumbering against it
His oddities certainly did not look Asiatic Polynesian Levantine or negroid yet I could see why the people found him alien,His oddities certainly did not look Asiatic Polynesian Levantine or negroid yet I could see why the people found him alien
As I hurried home through those narrow winding mist choked waterfront streets I had a frightful impression of being stealthily followed by softly padding feet,As I hurried home through those narrow winding mist choked waterfront streets I had a frightful impression of being stealthily followed by softly padding feet
That at least two of the fears embodiments were destroyed formed but a slight guarantee of mental and physical safety in this Acheron of multiform diabolism yet I continued my quest with even greater zeal as events and revelations became more monstrous,That at least two of the fears embodiments were destroyed formed but a slight guarantee of mental and physical safety in this Acheron of multiform diabolism yet I continued my quest with even greater zeal as events and revelations became more monstrous
It was not a strong or even a fairly strong light certainly not nearly strong enough to read an average book by,It was not a strong or even a fairly strong light certainly not nearly strong enough to read an average book by
Only his tendency toward a dazed stupor prevented him from screaming aloud,Only his tendency toward a dazed stupor prevented him from screaming aloud
I am an entity like that which you yourself become in the freedom of dreamless sleep,I am an entity like that which you yourself become in the freedom of dreamless sleep
It was more horrible than anything I had ever overheard because I could now see the expression of his face and could realise that this time the motive was stark fear,It was more horrible than anything I had ever overheard because I could now see the expression of his face and could realise that this time the motive was stark fear
He had heard meanwhile of Whateleys grotesque trip to Cambridge and of his frantic efforts to borrow or copy from the Necronomicon at the Widener Library,He had heard meanwhile of Whateleys grotesque trip to Cambridge and of his frantic efforts to borrow or copy from the Necronomicon at the Widener Library
Early risers on the th noticed a peculiar stench in the air,Early risers on the th noticed a peculiar stench in the air
In the midst of these reflections as if dramatically arranged to intensify them there fell near by a terrific bolt of lightning followed by the sound of sliding earth,In the midst of these reflections as if dramatically arranged to intensify them there fell near by a terrific bolt of lightning followed by the sound of sliding earth
I hated the mocking moon the hypocritical plain the festering mountain and those sinister mounds,I hated the mocking moon the hypocritical plain the festering mountain and those sinister mounds
Reading the life of Theseus I was much impressed by that passage telling of the great stone beneath which the boyish hero was to find his tokens of destiny whenever he should become old enough to lift its enormous weight,Reading the life of Theseus I was much impressed by that passage telling of the great stone beneath which the boyish hero was to find his tokens of destiny whenever he should become old enough to lift its enormous weight
Those Old Ones were gone now inside the earth and under the sea but their dead bodies had told their secrets in dreams to the first men who formed a cult which had never died,Those Old Ones were gone now inside the earth and under the sea but their dead bodies had told their secrets in dreams to the first men who formed a cult which had never died
And there were cobblestones over which clattered many a blooded horse and rumbled many a gilded coach and brick sidewalks with horse blocks and hitching posts,And there were cobblestones over which clattered many a blooded horse and rumbled many a gilded coach and brick sidewalks with horse blocks and hitching posts
The more he remembered of his hideous dream the more terrified he felt and it added to his desperation to hear Joe Mazurewicz chanting mournfully two floors below,The more he remembered of his hideous dream the more terrified he felt and it added to his desperation to hear Joe Mazurewicz chanting mournfully two floors below
Sometimes he would take walks through shadowy tangles of unpaved musty smelling lanes where eldritch brown houses of unknown age leaned and tottered and leered mockingly through narrow small paned windows,Sometimes he would take walks through shadowy tangles of unpaved musty smelling lanes where eldritch brown houses of unknown age leaned and tottered and leered mockingly through narrow small paned windows
I did however improve my stay in Arkham by collecting some genealogical notes I had long wished to possess very rough and hasty data it is true but capable of good use later on when I might have time to collate and codify them,I did however improve my stay in Arkham by collecting some genealogical notes I had long wished to possess very rough and hasty data it is true but capable of good use later on when I might have time to collate and codify them
Messrs Ricci Czanek and Silva selected the night of April th for their call,Messrs Ricci Czanek and Silva selected the night of April th for their call
The Rue dAuseil lay across a dark river bordered by precipitous brick blear windowed warehouses and spanned by a ponderous bridge of dark stone,The Rue dAuseil lay across a dark river bordered by precipitous brick blear windowed warehouses and spanned by a ponderous bridge of dark stone
When I see this I telled Eb Holt That is suthin ta stir ye up an make yer blood tickle When I read in Scripter about slayin like them Midianites was slew I kinder think things but I as not got no picter of it,When I see this I telled Eb Holt That is suthin ta stir ye up an make yer blood tickle When I read in Scripter about slayin like them Midianites was slew I kinder think things but I as not got no picter of it
The really inexplicable thing was the way in which the victims ignorant people for the ill smelling and widely shunned house could now be rented to no others would babble maledictions in French a language they could not possibly have studied to any extent,The really inexplicable thing was the way in which the victims ignorant people for the ill smelling and widely shunned house could now be rented to no others would babble maledictions in French a language they could not possibly have studied to any extent
I remember the night I made the five concentric circles of fire on the floor and stood in the innermost one chanting that monstrous litany the messenger from Tartary had brought,I remember the night I made the five concentric circles of fire on the floor and stood in the innermost one chanting that monstrous litany the messenger from Tartary had brought
Meanwhile joyful servants were proclaiming the finding of young Godfrey in a distant and unused chamber of the great edifice telling too late that poor Michel had been killed in vain,Meanwhile joyful servants were proclaiming the finding of young Godfrey in a distant and unused chamber of the great edifice telling too late that poor Michel had been killed in vain
And yet I saw them in a limitless stream flopping hopping croaking bleating surging inhumanly through the spectral moonlight in a grotesque malignant saraband of fantastic nightmare,And yet I saw them in a limitless stream flopping hopping croaking bleating surging inhumanly through the spectral moonlight in a grotesque malignant saraband of fantastic nightmare
North of the river there were traces of squalid life active fish packing houses in Water Street smoking chimneys and patched roofs here and there occasional sounds from indeterminate sources and infrequent shambling forms in the dismal streets and unpaved lanes but I seemed to find this even more oppressive than the southerly desertion,North of the river there were traces of squalid life active fish packing houses in Water Street smoking chimneys and patched roofs here and there occasional sounds from indeterminate sources and infrequent shambling forms in the dismal streets and unpaved lanes but I seemed to find this even more oppressive than the southerly desertion
The picture was very vivid for a while but gradually gave way to a more horrible conception that of utter absolute solitude in infinite sightless soundless space,The picture was very vivid for a while but gradually gave way to a more horrible conception that of utter absolute solitude in infinite sightless soundless space
The next day it appears they raised and landed on a small island although none is known to exist in that part of the ocean and six of the men somehow died ashore though Johansen is queerly reticent about this part of his story and speaks only of their falling into a rock chasm,The next day it appears they raised and landed on a small island although none is known to exist in that part of the ocean and six of the men somehow died ashore though Johansen is queerly reticent about this part of his story and speaks only of their falling into a rock chasm
Only old Zebulon who was not with the group could have done justice to the situation or suggested a plausible explanation,Only old Zebulon who was not with the group could have done justice to the situation or suggested a plausible explanation
They filed a ponderous report at the court house in Aylesbury and litigations concerning heirship are said to be still in progress amongst the innumerable Whateleys decayed and undecayed of the upper Miskatonic valley,They filed a ponderous report at the court house in Aylesbury and litigations concerning heirship are said to be still in progress amongst the innumerable Whateleys decayed and undecayed of the upper Miskatonic valley
It was from these that I determined to choose a colleague and the more I reflected the more my preference inclined toward one Arthur Munroe a dark lean man of about thirty five whose education taste intelligence and temperament all seemed to mark him as one not bound to conventional ideas and experiences,It was from these that I determined to choose a colleague and the more I reflected the more my preference inclined toward one Arthur Munroe a dark lean man of about thirty five whose education taste intelligence and temperament all seemed to mark him as one not bound to conventional ideas and experiences
But of what followed and of the reason I was found alone and dazed on the edge of the swamp next morning I must insist that I know nothing save what I have told you over and over again,But of what followed and of the reason I was found alone and dazed on the edge of the swamp next morning I must insist that I know nothing save what I have told you over and over again
He would often awake calling for his mother and grandfather both in their graves a quarter of a century,He would often awake calling for his mother and grandfather both in their graves a quarter of a century
I told them of the vault and they pointed to the unbroken plaster wall and laughed,I told them of the vault and they pointed to the unbroken plaster wall and laughed
At three of the clock he took some lunch at a restaurant noting meanwhile that the pull had either lessened or divided itself,At three of the clock he took some lunch at a restaurant noting meanwhile that the pull had either lessened or divided itself
The whippoorwills were piping wildly and in a singularly curious irregular rhythm quite unlike that of the visible ritual,The whippoorwills were piping wildly and in a singularly curious irregular rhythm quite unlike that of the visible ritual
This fusion of dream and reality was too much to bear,This fusion of dream and reality was too much to bear
In she fell victim to a mild form of insanity and was thereafter confined to the upper part of the house her elder maiden sister Mercy Dexter having moved in to take charge of the family,In she fell victim to a mild form of insanity and was thereafter confined to the upper part of the house her elder maiden sister Mercy Dexter having moved in to take charge of the family
He talked of death incessantly but laughed hollowly when such things as burial or funeral arrangements were gently suggested,He talked of death incessantly but laughed hollowly when such things as burial or funeral arrangements were gently suggested
The villagers did not know how much to believe from so small a boy and though they feared that the evil pair had charmed the cats to their death they preferred not to chide the old cotter till they met him outside his dark and repellent yard,The villagers did not know how much to believe from so small a boy and though they feared that the evil pair had charmed the cats to their death they preferred not to chide the old cotter till they met him outside his dark and repellent yard
It is still spectral but its strangeness fascinates me and I shall find mixed with my relief a queer regret when it is torn down to make way for a tawdry shop or vulgar apartment building,It is still spectral but its strangeness fascinates me and I shall find mixed with my relief a queer regret when it is torn down to make way for a tawdry shop or vulgar apartment building
Reason logic and normal ideas of motivation stood confounded,Reason logic and normal ideas of motivation stood confounded
For three days they climbed higher higher and higher toward the roof of the world then they camped to wait for the clouding of the moon,For three days they climbed higher higher and higher toward the roof of the world then they camped to wait for the clouding of the moon
Aunt Martha was in the doorway and did not scold too hard when Benijah shoved the truant in,Aunt Martha was in the doorway and did not scold too hard when Benijah shoved the truant in
Probably they traded in Arkham knowing how little Kingsport liked their habitation or perhaps being unable to climb down the cliff on the Kingsport side,Probably they traded in Arkham knowing how little Kingsport liked their habitation or perhaps being unable to climb down the cliff on the Kingsport side
Rome and Ravenna are rivals for the honour of his birth though it is certain that he received his rhetorical and philosophical training in the schools of Athens the extent of whose suppression by Theodosius a century before is grossly exaggerated by the superficial,Rome and Ravenna are rivals for the honour of his birth though it is certain that he received his rhetorical and philosophical training in the schools of Athens the extent of whose suppression by Theodosius a century before is grossly exaggerated by the superficial
Men of learning suspect it little and ignore it mostly,Men of learning suspect it little and ignore it mostly
Of this he had been assured by Frank Elwood the one fellow student whose poverty forced him to room in this squalid and unpopular house,Of this he had been assured by Frank Elwood the one fellow student whose poverty forced him to room in this squalid and unpopular house
As the weeks passed I observed with regret that my new friend was indeed slowly but unmistakably losing ground physically as Mrs Herrero had suggested,As the weeks passed I observed with regret that my new friend was indeed slowly but unmistakably losing ground physically as Mrs Herrero had suggested
Then with a dazed automatism which persisted despite hopelessness I made for the next connecting door and performed the blind motion of pushing at it in an effort to get through and granting that fastenings might be as providentially intact as in this second room bolt the hall door beyond before the lock could be turned from outside,Then with a dazed automatism which persisted despite hopelessness I made for the next connecting door and performed the blind motion of pushing at it in an effort to get through and granting that fastenings might be as providentially intact as in this second room bolt the hall door beyond before the lock could be turned from outside
Shall I say that the voice was deep hollow gelatinous remote unearthly inhuman disembodied,Shall I say that the voice was deep hollow gelatinous remote unearthly inhuman disembodied
He read avidly by himself now but talked much less than formerly,He read avidly by himself now but talked much less than formerly
Finally the air grew thin and the sky changed colour and the climbers found it hard to breathe but still they toiled up and up marvelling at the strangeness of the scene and thrilling at the thought of what would happen on the summit when the moon was out and the pale vapours spread around,Finally the air grew thin and the sky changed colour and the climbers found it hard to breathe but still they toiled up and up marvelling at the strangeness of the scene and thrilling at the thought of what would happen on the summit when the moon was out and the pale vapours spread around
So taking the solitary acetylene lamp into the adjacent laboratory we left our silent guest on the slab in the dark and bent every energy to the mixing of a new solution the weighing and measuring supervised by West with an almost fanatical care,So taking the solitary acetylene lamp into the adjacent laboratory we left our silent guest on the slab in the dark and bent every energy to the mixing of a new solution the weighing and measuring supervised by West with an almost fanatical care
At last came that which I had long feared,At last came that which I had long feared
But before his resolution was put to the test the unexpected intervened,But before his resolution was put to the test the unexpected intervened
She had found it in the young gentlemans bed on the side next the wall,She had found it in the young gentlemans bed on the side next the wall
What was it that had enmeshed him,What was it that had enmeshed him
Many things had taught them secretiveness and there was now no need to exert pressure on them,Many things had taught them secretiveness and there was now no need to exert pressure on them
Though the hands of its clock were missing on the side I glimpsed I knew that those hoarse strokes were telling the hour of eleven,Though the hands of its clock were missing on the side I glimpsed I knew that those hoarse strokes were telling the hour of eleven
All of these however bore out the notes in full,All of these however bore out the notes in full
Professor Upham especially liked his demonstration of the kinship of higher mathematics to certain phases of magical lore transmitted down the ages from an ineffable antiquity human or pre human whose knowledge of the cosmos and its laws was greater than ours,Professor Upham especially liked his demonstration of the kinship of higher mathematics to certain phases of magical lore transmitted down the ages from an ineffable antiquity human or pre human whose knowledge of the cosmos and its laws was greater than ours
Like and yet unlike for there was in the eyes of all a weird unhealthy glitter as of greed ambition vindictiveness or misguided zeal,Like and yet unlike for there was in the eyes of all a weird unhealthy glitter as of greed ambition vindictiveness or misguided zeal
To seek to describe it were useless for it was such that no description is possible,To seek to describe it were useless for it was such that no description is possible
Everybody was in a bad way them days,Everybody was in a bad way them days
Here the strangers had been granted a haven and the swarthy Etienne Roulet less apt at agriculture than at reading queer books and drawing queer diagrams was given a clerical post in the warehouse at Pardon Tillinghasts wharf far south in Town Street,Here the strangers had been granted a haven and the swarthy Etienne Roulet less apt at agriculture than at reading queer books and drawing queer diagrams was given a clerical post in the warehouse at Pardon Tillinghasts wharf far south in Town Street
But still these shadows of my dream deride me,But still these shadows of my dream deride me
One September day an unexpected glimpse of him induced an epileptic fit in a man who had come to repair his electric desk lamp a fit for which he prescribed effectively whilst keeping himself well out of sight,One September day an unexpected glimpse of him induced an epileptic fit in a man who had come to repair his electric desk lamp a fit for which he prescribed effectively whilst keeping himself well out of sight
So without delay West had injected into the bodys wrist the compound which would hold it fresh for use after my arrival,So without delay West had injected into the bodys wrist the compound which would hold it fresh for use after my arrival
